"预约单号",客户姓名,客户手机号,客户来源,预约单状态,操作备注,预约门店,预约到店时间,下单时间,服务名称,车牌号,车型,备注
RS20210727200433808JC,18952632052,18952632052,0313客户公司,已关闭,预约过期，系统自动关闭,支持用户预约门店1,2021-07-29 上午,2021-07-27 08:04:34,不限定车牌服务00,,,
RS20210726095457953JC,18952632028,18952632028,0313客户公司,已关闭,预约过期，系统自动关闭,支持用户预约门店1,2021-07-28 上午,2021-07-26 09:54:58,不限定车牌服务00,,,
RS20210726103205588JC,18952632047,18952632047,,已关闭,预约过期，系统自动关闭,支持用户预约门店1,2021-07-28 上午,2021-07-26 10:32:06,不限定车牌服务00,,,
RS20210727161231194JC,18952632049,18952632049,,已关闭,,支持用户预约门店1,2021-07-28 上午,2021-07-27 04:12:31,不限定车牌服务00,,,
RS20210720151737129JC,温仪民二,17604207114,车牌保单号,已关闭,预约过期，系统自动关闭,支持用户预约门店1,2021-07-23 下午,2021-07-20 03:17:37,服务01,,,
RS20210714094146715JC,元芳,18952632023,0313客户公司,已完成,,支持用户预约门店1,2021-07-19 上午,2021-07-14 09:41:47,不限定车牌服务00,,,duang
RS20210714102918546JC,元芳,18952632023,0313客户公司,已完成,,支持用户预约门店1,2021-07-18 下午,2021-07-14 10:29:19,不限定车牌服务00,,,
RS20210714104152148JC,朝小雨,18952632024,0313客户公司,已完成,,支持用户预约门店1,2021-07-18 上午,2021-07-14 10:41:52,不限定车牌服务00,,,ddqwddcwegfeq
RS20210715203935078JC,嫦娥,18952632026,0313客户公司,已完成,,支持用户预约门店1,2021-07-18 上午,2021-07-15 08:39:35,限定车牌的抵扣服务,,,
RS20210714103716363JC,元芳,18952632023,0313客户公司,已关闭,预约过期，系统自动关闭,支持用户预约门店1,2021-07-17 下午,2021-07-14 10:37:16,不限定车牌服务00,,,asdjafnsgbhenfcsvceinfu
RS20210715204523683JC,嫦娥,18952632026,0313客户公司,已完成,,支持用户预约门店1,2021-07-17 上午,2021-07-15 08:45:24,不限定车牌服务00,,,
RS20210712163812423JC,元芳,18952632023,0313客户公司,已完成,,支持用户预约门店1,2021-07-16 上午,2021-07-12 04:38:12,不限定车牌服务00,,,莫挨老子
RS20210712165527457JC,元芳,18952632023,0313客户公司,已完成,,支持用户预约门店1,2021-07-16 下午,2021-07-12 04:55:27,不限定车牌服务00,,,da
RS20210714102625436JC,元芳,18952632023,0313客户公司,已完成,,支持用户预约门店1,2021-07-16 下午,2021-07-14 10:26:25,不限定车牌服务00,,,
RS20210712163231537JC,小黑,18800000001,无邪太平洋人寿保险公司,已关闭,预约过期，系统自动关闭,wenyi店9,2021-07-15 上午,2021-07-12 04:32:32,门店卡券cdc001,,,老子就要来了，不要跑
RS20210713165244096JC,元芳,18952632023,0313客户公司,已完成,,支持用户预约门店1,2021-07-14 下午,2021-07-13 04:52:44,不限定车牌服务00,,,
RS20210701102011634JC,苏云涛,15838784501,0313客户公司,已完成,,支持用户预约门店1,2021-07-08 下午,2021-07-01 10:20:12,不限定车牌服务00,,,
RS20210702182533447JC,18966154582,18966154582,0313客户公司,用户已取消,,支持用户预约门店1,2021-07-07 上午,2021-07-02 06:25:33,代駕20km,,,
RS20210701110444130JC,苏云涛,15838784501,0313客户公司,已关闭,预约过期，系统自动关闭,支持用户预约门店1,2021-07-06 下午,2021-07-01 11:04:44,美容服务,,,
RS20210701201621680JC,苏云涛,15838784501,0313客户公司,已取消,,支持用户预约门店1,2021-07-06 下午,2021-07-01 08:16:22,不限定车牌服务00,,,
RS20210702182359949JC,18966154582,18966154582,0313客户公司,用户已取消,,支持用户预约门店1,2021-07-06 上午,2021-07-02 06:24:00,代駕20km,,,
RS20210705090130925JC,张晓菲,13707901155,名字,用户已取消,,支持用户预约门店1,2021-07-06 上午,2021-07-05 09:01:31,代駕20km,,,
RS20210705095903543JC,张晓菲,13707901155,名字,已关闭,预约过期，系统自动关闭,支持用户预约门店1,2021-07-06 上午,2021-07-05 09:59:04,代駕20km,,,
RS20210701090509825JC,苏云涛,15838784501,0313客户公司,已完成,,支持用户预约门店1,2021-07-05 下午,2021-07-01 09:05:10,不限定车牌服务00,,,
RS20210701091200360JC,苏云涛,15838784501,0313客户公司,已关闭,,支持用户预约门店1,2021-07-05 下午,2021-07-01 09:12:00,不限定车牌服务00,,,
RS20210701091324972JC,苏云涛,15838784501,0313客户公司,已完成,,支持用户预约门店1,2021-07-05 下午,2021-07-01 09:13:25,不限定车牌服务00,,,
RS20210701110347934JC,苏云涛,15838784501,0313客户公司,已取消,,支持用户预约门店1,2021-07-05 下午,2021-07-01 11:03:48,不限定车牌服务00,,,
RS20210701090956483JC,苏云涛,15838784501,0313客户公司,已取消,,支持用户预约门店1,2021-07-04 下午,2021-07-01 09:09:56,不限定车牌服务00,,,
RS20210701104500040JC,苏云涛,15838784501,0313客户公司,已关闭,预约过期，系统自动关闭,支持用户预约门店1,2021-07-04 下午,2021-07-01 10:45:00,维修保养服务,,浙JTA5,
RS20210701201906596JC,苏云涛,15838784501,0313客户公司,已关闭,预约过期，系统自动关闭,支持用户预约门店1,2021-07-04 下午,2021-07-01 08:19:07,不限定车牌服务00,,,
RS20210702183416358JC,18966154582,18966154582,0313客户公司,已关闭,预约过期，系统自动关闭,支持用户预约门店1,2021-07-04 上午,2021-07-02 06:34:16,代駕20km,,,123131313
RS20210607145117486JC,苏云涛,15838784501,0313客户公司,已取消,,支持用户预约门店1,2021-06-21 下午,2021-06-07 02:51:17,其他服务,,,
RS20210611150300356JC,苏云涛,15838784501,0313客户公司,已取消,,支持用户预约门店1,2021-06-14 下午,2021-06-11 03:03:00,其他服务,,,
RS20210611150945931JC,苏云涛,15838784501,0313客户公司,已关闭,预约过期，系统自动关闭,支持用户预约门店1,2021-06-14 下午,2021-06-11 03:09:46,其他服务,,,
RS20210611144701282JC,苏云涛,15838784501,0313客户公司,已取消,,支持用户预约门店1,2021-06-12 上午,2021-06-11 02:47:01,维修保养服务,浙A12345,本支持,
RS20210607110028355JC,苏云涛,15838784501,0313客户公司,已取消,,支持用户预约门店1,2021-06-11 下午,2021-06-07 11:00:28,其他服务,,,
RS20210607144831868JC,苏云涛,15838784501,0313客户公司,已取消,,can 预约的门店,2021-06-11 下午,2021-06-07 02:48:32,维修保养服务,,机构行家客户,
RS20210607153205338JC,苏云涛,15838784501,0313客户公司,已取消,,wenyi店9,2021-06-11 下午,2021-06-07 03:32:05,其他服务,,,
RS20210607131320574JC,苏云涛,15838784501,0313客户公司,已取消,,支持用户预约门店1,2021-06-10 下午,2021-06-07 01:13:21,其他服务,,,
RS20210607134432051JC,苏云涛,15838784501,0313客户公司,已取消,,支持用户预约门店1,2021-06-10 下午,2021-06-07 01:44:32,其他服务,,,
RS20210607141632551JC,苏云涛,15838784501,0313客户公司,已取消,,支持用户预约门店1,2021-06-10 下午,2021-06-07 02:16:33,其他服务,,,
RS20210607143928602JC,苏云涛,15838784501,0313客户公司,已取消,,支持用户预约门店1,2021-06-10 下午,2021-06-07 02:39:29,其他服务,,,
RS20210607144136638JC,苏云涛,15838784501,0313客户公司,已取消,,支持用户预约门店1,2021-06-10 下午,2021-06-07 02:41:37,其他服务,,,
RS20210607144236780JC,苏云涛,15838784501,0313客户公司,已取消,,支持用户预约门店1,2021-06-10 下午,2021-06-07 02:42:37,其他服务,,,
RS20210607144339206JC,苏云涛,15838784501,0313客户公司,已取消,,can 预约的门店,2021-06-10 下午,2021-06-07 02:43:39,其他服务,,,
RS20210607145014993JC,苏云涛,15838784501,0313客户公司,已取消,,支持用户预约门店1,2021-06-10 下午,2021-06-07 02:50:15,其他服务,,,
RS20210607145545520JC,苏云涛,15838784501,0313客户公司,已取消,,支持用户预约门店1,2021-06-10 下午,2021-06-07 02:55:46,其他服务,,,
RS20210607131252727JC,苏云涛,15838784501,0313客户公司,已取消,,支持用户预约门店1,2021-06-09 下午,2021-06-07 01:12:53,其他服务,,,
RS20210607134523510JC,苏云涛,15838784501,0313客户公司,已取消,,支持用户预约门店1,2021-06-09 下午,2021-06-07 01:45:24,其他服务,,,
RS20210607134617148JC,苏云涛,15838784501,0313客户公司,已取消,,支持用户预约门店1,2021-06-09 上午,2021-06-07 01:46:17,其他服务,,,
RS20210607153359726JC,苏云涛,15838784501,0313客户公司,已取消,,支持用户预约门店1,2021-06-09 上午,2021-06-07 03:34:00,其他服务,,,
RS20210607173356081JC,苏云涛,15838784501,0313客户公司,已取消,,支持用户预约门店1,2021-06-09 上午,2021-06-07 05:33:56,其他服务,,,
RS20210607173604322JC,苏云涛,15838784501,0313客户公司,已取消,,支持用户预约门店1,2021-06-09 下午,2021-06-07 05:36:04,其他服务,,,
RS20210604180840811JC,苏苏,15838784500,1225客户公司,已关闭,预约过期，系统自动关闭,支持用户预约门店1,2021-06-08 上午,2021-06-04 06:08:41,不限定车牌服务00,,,
RS20210607131135041JC,苏云涛,15838784501,0313客户公司,已取消,,支持用户预约门店1,2021-06-08 上午,2021-06-07 01:11:35,其他服务,,,
RS20210607131707082JC,苏云涛,15838784501,0313客户公司,已取消,,支持用户预约门店1,2021-06-08 上午,2021-06-07 01:17:07,其他服务,,,
RS20210607131752626JC,苏云涛,15838784501,0313客户公司,已取消,,支持用户预约门店1,2021-06-08 下午,2021-06-07 01:17:53,其他服务,,,
RS20210607133602661JC,苏云涛,15838784501,0313客户公司,已取消,,支持用户预约门店1,2021-06-08 上午,2021-06-07 01:36:03,其他服务,,,
RS20210607141252246JC,苏云涛,15838784501,0313客户公司,已取消,,支持用户预约门店1,2021-06-08 上午,2021-06-07 02:12:52,其他服务,,,
RS20210607144645407JC,苏云涛,15838784501,0313客户公司,已取消,,支持用户预约门店1,2021-06-08 上午,2021-06-07 02:46:45,其他服务,,,
RS20210607144736453JC,苏云涛,15838784501,0313客户公司,已取消,,can 预约的门店,2021-06-08 上午,2021-06-07 02:47:36,维修保养服务,,奔驰C7,
RS20210604162744015JC,苏苏,15838784500,1225客户公司,已关闭,预约过期，系统自动关闭,支持用户预约门店1,2021-06-07 下午,2021-06-04 04:27:44,维修保养服务,,22,
RS20210604180353257JC,苏苏,15838784500,1225客户公司,已关闭,预约过期，系统自动关闭,支持用户预约门店1,2021-06-07 下午,2021-06-04 06:03:53,不限定车牌服务00,,,
RS20210603144524275JC,18966154582,18966154582,0313客户公司,已关闭,预约过期，系统自动关闭,can 预约的门店,2021-06-06 下午,2021-06-03 02:45:24,维修保养服务,,23,
RS20210604162907012JC,苏云涛,15838784501,0313客户公司,已取消,,支持用户预约门店1,2021-06-05 上午,2021-06-04 04:29:07,不限定车牌服务00,,,
RS20210601091029665JC,18966154582,18966154582,0313客户公司,已关闭,预约过期，系统自动关闭,can 预约的门店,2021-06-04 下午,2021-06-01 09:10:30,其他服务,,,
RS20210531203359840JC,18966154582,18966154582,0313客户公司,已关闭,预约过期，系统自动关闭,支持用户预约门店1,2021-06-02 上午,2021-05-31 08:34:00,美容服务,,,
RS20210521170935200JC,李四,13175020184,0313客户公司,已关闭,预约过期，系统自动关闭,支持用户预约门店1,2021-05-23 上午,2021-05-21 05:09:35,代駕20km,,,
RS20210506164932307JC,苏云涛,15838784501,0313客户公司,已关闭,预约过期，系统自动关闭,支持用户预约门店1,2021-05-07 上午,2021-05-06 04:49:32,不限定车牌服务00,,,
RS20210423162516162JC,苏云涛,15838784501,0313客户公司,已取消,,支持用户预约门店1,2021-04-25 上午,2021-04-23 04:25:16,美容服务,,,
RS20210423162536898JC,苏云涛,15838784501,0313客户公司,已取消,,支持用户预约门店1,2021-04-24 上午,2021-04-23 04:25:37,其他服务,,,
RS20210423164343752JC,苏云涛,15838784501,0313客户公司,已关闭,预约过期，系统自动关闭,支持用户预约门店1,2021-04-24 上午,2021-04-23 04:43:44,美容服务,,,
RS20210415161333376JC,苏云涛,15838784501,0313客户公司,已关闭,预约过期，系统自动关闭,支持用户预约门店1,2021-04-16 上午,2021-04-15 04:13:33,维修保养服务,,浙A125897,
RS20210408091240882JC,苏苏,15838784500,1225客户公司,已关闭,预约过期，系统自动关闭,支持用户预约门店1,2021-04-09 上午,2021-04-08 09:12:41,维修保养服务,,11111,
RS20210406021401382JC,张公龙,18755520346," 永安财产保险股份有限公司陕西分公司",已关闭,预约过期，系统自动关闭,wenyi店9,2021-04-07 上午,2021-04-06 02:14:01,不限定车牌服务00,,,
RS20210406092059403JC,苏苏,15838784500,1225客户公司,已关闭,预约过期，系统自动关闭,支持用户预约门店,2021-04-07 上午,2021-04-06 09:20:59,不限定车牌服务00,,,ertert
RS20210402134255790JC,苏苏,15838784500,1225客户公司,已关闭,预约过期，系统自动关闭,支持用户预约门店,2021-04-05 下午,2021-04-02 01:42:56,不限定车牌服务00,,,
RS20210402102717090JC,苏苏,15838784500,1225客户公司,已完成,,支持用户预约门店,2021-04-04 下午,2021-04-02 10:27:17,不限定车牌服务00,,,P3547S1052450R00
RS20210402105512767JC,苏苏,15838784500,1225客户公司,已取消,,支持用户预约门店,2021-04-04 上午,2021-04-02 10:55:13,不限定车牌服务00,,,
RS20210402130728379JC,苏苏,15838784500,1225客户公司,已关闭,预约过期，系统自动关闭,支持用户预约门店,2021-04-04 下午,2021-04-02 01:07:28,不限定车牌服务00,,,
RS20210402150040949JC,苏苏,15838784500,1225客户公司,已关闭,预约过期，系统自动关闭,支持用户预约门店,2021-04-04 上午,2021-04-02 03:00:41,维修保养服务,,奔驰123,
RS20210401164221466JC,苏苏,15838784500,1225客户公司,已关闭,预约过期，系统自动关闭,wenyi店9,2021-04-03 下午,2021-04-01 04:42:21,不限定车牌服务00,,,
RS20210402102421949JC,苏苏,15838784500,1225客户公司,已完成,,支持用户预约门店,2021-04-03 上午,2021-04-02 10:24:22,不限定车牌服务00,,,P2769S1052452R00
RS20210402133330917JC,苏苏,15838784500,1225客户公司,已取消,,支持用户预约门店,2021-04-03 上午,2021-04-02 01:33:31,不限定车牌服务00,,,P3547S1052450R00
RS20210402134148955JC,苏苏,15838784500,1225客户公司,已取消,,支持用户预约门店,2021-04-03 上午,2021-04-02 01:41:49,念-维修,,,
RS20210331161318407JC,张公龙,18755520346," 永安财产保险股份有限公司陕西分公司",已取消,,支持用户预约门店,2021-04-01 下午,2021-03-31 04:13:18,不限定车牌服务00,,,
RS20210319155612120JC,苏云,18755520347,0313客户公司,已关闭,预约过期，系统自动关闭,支持用户预约门店,2021-03-21 上午,2021-03-19 03:56:12,不限定车牌服务00,,,
RS20210318135623142JC,苏苏,15838784500,1225客户公司,已取消,,can 预约的门店,2021-03-19 上午,2021-03-18 01:56:23,念-洗车,,,
RS20210317164345532JC,苏苏,15838784500,1225客户公司,用户已取消,,can 预约的门店,2021-03-18 上午,2021-03-17 04:43:46,念-洗车,,,
RS20210310172637101JC,苏云,18755520347,0313客户公司,已关闭,而有人提议,can 预约的门店,2021-03-16 下午,2021-03-10 05:26:37,不限定车牌服务00,,,
RS20210316171902559JC,苏云,18755520347,0313客户公司,已关闭,预约过期，系统自动关闭,can 预约的门店,2021-03-14 上午,2021-03-16 05:19:03,不限定车牌服务00,,,
RS20210309140603804JC,苏云,18755520347,0313客户公司,已关闭,平台在待核销状态下 关闭了预约单,can 预约的门店,2021-03-13 上午,2021-03-09 02:06:04,维修保养服务,,,
RS20210310172412410JC,苏云,18755520347,0313客户公司,已取消,,can 预约的门店,2021-03-13 下午,2021-03-10 05:24:12,不限定车牌服务00,,,
RS20210310172743743JC,苏云,18755520347,0313客户公司,已取消,,can 预约的门店,2021-03-13 下午,2021-03-10 05:27:44,不限定车牌服务00,,,
RS20210316171913431JC,苏云,18755520347,0313客户公司,已关闭,预约过期，系统自动关闭,can 预约的门店,2021-03-13 下午,2021-03-16 05:19:13,不限定车牌服务00,,,
RS20210309135303706JC,苏云,18755520347,0313客户公司,已取消,门店已拒绝,can 预约的门店,2021-03-12 上午,2021-03-09 01:53:04,其他服务,,,
RS20210310172937107JC,苏云,18755520347,0313客户公司,已取消,待核销时拒绝了单子,can 预约的门店,2021-03-12 下午,2021-03-10 05:29:37,不限定车牌服务00,,,
RS20210316173119140JC,苏云,18755520347,0313客户公司,已关闭,预约过期，系统自动关闭,can 预约的门店,2021-03-12 上午,2021-03-16 05:31:19,不限定车牌服务00,,,
RS20210309133338698JC,苏云,18755520347,0313客户公司,已取消,,can 预约的门店,2021-03-11 下午,2021-03-09 01:33:39,其他服务,浙A123450,宝马X1,2021 03 09 13 33提交了预约
RS20210310164445837JC,苏云,18755520347,0313客户公司,用户已取消,,wenyi店9,2021-03-11 上午,2021-03-10 04:44:46,门店卡券cdc001,,,CARD50625a8f23de3ca9427fb22a167e701f8f43
RS20210310165821005JC,苏云,18755520347,0313客户公司,已完成,,can 预约的门店,2021-03-11 上午,2021-03-10 04:58:21,不限定车牌服务00,,,CARD50623ac6fad708204b9eba2321ee2c817009
RS20210310172843448JC,苏云,18755520347,0313客户公司,已取消,待接单时拒绝了预约单,can 预约的门店,2021-03-11 下午,2021-03-10 05:28:43,不限定车牌服务00,,,
RS20210309111125826JC,苏云,18755520347,0313客户公司,已取消,,can 预约的门店,2021-03-10 上午,2021-03-09 11:11:26,其他服务,浙A58963,奔驰G4,用户提交预约
RS20210309163829631JC,苏云,18755520347,0313客户公司,已取消,,can 预约的门店,2021-03-10 上午,2021-03-09 04:38:30,其他服务,,,
RS20210309164003351JC,苏云,18755520347,0313客户公司,已取消,,can 预约的门店,2021-03-10 上午,2021-03-09 04:40:03,维修保养服务,,,
RS20210309170352293JC,苏云,18755520347,0313客户公司,已取消,,can 预约的门店,2021-03-10 上午,2021-03-09 05:03:52,不限定车牌服务00,,,CARD50627f24e86c67f0487c9ce8566b3569a3e4
RS20210310100048819JC,苏云,18755520347,0313客户公司,已完成,,can 预约的门店,2021-03-10 上午,2021-03-10 10:00:49,维修保养服务,,,CARD50624c9615e32e154177b7b43ec2e0a21eff
RS20210310100111803JC,苏云,18755520347,0313客户公司,已完成,,can 预约的门店,2021-03-10 下午,2021-03-10 10:01:12,不限定车牌服务00,,,CARD5062f025047f4e4f4146aae84901abf51809
RS20210310100154551JC,苏云,18755520347,0313客户公司,已完成,,can 预约的门店,2021-03-10 上午,2021-03-10 10:01:55,门店卡券cdc001,,,CARD5062f907bcdf69504d2eb34bcc0485c9723e
RS20210310100223190JC,苏云,18755520347,0313客户公司,已完成,,can 预约的门店,2021-03-10 下午,2021-03-10 10:02:23,门店卡券cdc001,,,CARD50623810f4fba5dc4723876b5679452e38c6
RS20210310164751141JC,苏云,18755520347,0313客户公司,已完成,,can 预约的门店,2021-03-10 上午,2021-03-10 04:47:51,门店卡券cdc001,,,CARD506204e0f61250b44c3a9b82a14b64523eb5
RS20210310164600306JC,苏云,18755520347,0313客户公司,已关闭,预约过期，系统自动关闭,can 预约的门店,2021-03-06 上午,2021-03-10 04:46:00,门店卡券cdc001,,,CARD50625a8f23de3ca9427fb22a167e701f8f43
RS20210223193256276JC,苏云,18755520347,0313客户公司,用户已取消,,支持用户预约门店,2021-02-28 上午,2021-02-23 07:32:56,其他服务,,,
RS20210223194122819JC,苏云,18755520347,0313客户公司,用户已取消,,支持用户预约门店,2021-02-28 下午,2021-02-23 07:41:23,其他服务,,,
RS20210223195333790JC,苏云,18755520347,0313客户公司,用户已取消,,支持用户预约门店,2021-02-28 下午,2021-02-23 07:53:34,其他服务,,,
RS20210223192048954JC,苏云,18755520347,0313客户公司,用户已取消,,支持用户预约门店,2021-02-27 上午,2021-02-23 07:20:49,其他服务,,,
RS20210223150001340JC,苏云,18755520347,0313客户公司,已取消,拒绝订单 短信测试,支持用户预约门店,2021-02-26 上午,2021-02-23 03:00:01,其他服务,,,"cardNo: ""CARD50628b056c47e8e24d76b5595dc795915d65""
exchangeCode: ""P8568S1052435R00"
RS20210223151646652JC,苏云,18755520347,0313客户公司,已取消,,支持用户预约门店,2021-02-26 上午,2021-02-23 03:16:47,其他服务,,,
RS20210223161304371JC,张八一,18752632012,0313客户公司,已关闭,预约过期，系统自动关闭,支持用户预约门店,2021-02-26 下午,2021-02-23 04:13:04,不限定车牌服务00,浙A123124,,
RS20210224105441066JC,苏云,18755520347,0313客户公司,已完成,,支持用户预约门店,2021-02-26 下午,2021-02-24 10:54:41,门店卡券cdc001,,,预约单发起核销使用自动接单  测试操作记录
RS20210224104003908JC,苏云,18755520347,0313客户公司,已取消,门店拒绝  测试操作记录,支持用户预约门店,2021-02-25 上午,2021-02-24 10:40:04,不限定车牌服务00,浙A58927,特斯拉x1,测试操作记录
RS20210224104117312JC,苏云,18755520347,0313客户公司,已关闭,平台关闭预约单 测试操作记录,支持用户预约门店,2021-02-25 下午,2021-02-24 10:41:17,门店卡券cdc001,,,
RS20210219094641999JC,苏云萧,18755520347,,已关闭,运营平台关闭,支持用户预约门店,2021-02-24 下午,2021-02-19 09:46:42,不限定车牌服务00,浙D897456,梅赛德斯奔驰中国北京3L,"cardName: ""可预约卡券1""
cardNo: ""CARD50625d9cd69b641d41178a08b788319dc203""
exchangeCode: ""P9767S1052417R00"""
RS20210223160226004JC,苏云,18755520347,0313客户公司,已完成,,支持用户预约门店,2021-02-24 下午,2021-02-23 04:02:26,维修保养服务,,,
RS20210223164558370JC,苏云,18755520347,0313客户公司,已完成,,支持用户预约门店,2021-02-24 上午,2021-02-23 04:45:58,美容服务,,,
RS20210223200054005JC,苏云,18755520347,0313客户公司,已完成,111,支持用户预约门店,2021-02-24 下午,2021-02-23 08:00:54,其他服务,,,
RS20210224095836394JC,苏云,18755520347,0313客户公司,已关闭,,wenyi店9,2021-02-24 上午,2021-02-24 09:58:36,其他服务,,,
RS20210224095853960JC,苏云,18755520347,0313客户公司,已关闭,预约过期，系统自动关闭,支持用户预约门店,2021-02-24 上午,2021-02-24 09:58:54,维修保养服务,,,
RS20210224104145621JC,苏云,18755520347,0313客户公司,已完成,,支持用户预约门店,2021-02-24 下午,2021-02-24 10:41:46,不限定车牌服务00,,,
RS20210220143420915JC,张公龙,18755520346," 永安财产保险股份有限公司陕西分公司",已完成,,如意永康堂凤起路店,2021-02-23 下午,2021-02-20 02:34:21,不限定车牌服务00,浙A12345,哈哈嘻嘻,嘻嘻哈哈
RS20210222153727319JC,张八一,18752632012,0313客户公司,已关闭,预约过期，系统自动关闭,wenyi店9,2021-02-23 下午,2021-02-22 03:37:27,门店卡券cdc001,,,
RS20210219141804079JC,哈哈,18799090009,,已关闭,,wenyi店9,2021-02-22 下午,2021-02-19 02:18:04,不限定车牌服务00,,,
RS20210218142822100JC,温仪怕,15127828383,,已取消,预约过期，系统自动关闭,如意永康堂凤起路店,2021-02-21 下午,2021-02-18 02:28:22,不限定车牌服务00,浙J28833,,
RS20210219092458512JC,萧逸才,18755520347,,已关闭,,支持用户预约门店,2021-02-21 上午,2021-02-19 09:24:59,不限定车牌服务00,浙B897456,特斯拉A2长度测试测试测试,"cardName: ""可预约的卡券2""cardNo:""CARD5062c820a54cae0e4c34b8b08d10ef7b935d""exchangeCode: ""P1653S1052418R00"""
RS20210220110939030JC,苏云,18755520347,0313客户公司,已取消,,支持用户预约门店,2021-02-21 上午,2021-02-20 11:09:39,门店卡券cdc001,,,短信测试
RS20210218142215919JC,温仪等,15293943994,,已完成,预约过期，系统自动关闭,如意永康堂凤起路店,2021-02-20 上午,2021-02-18 02:22:16,不限定车牌服务00,浙J283445,,
RS20210218142420024JC,温仪把,15283838838,,已关闭,预约过期，系统自动关闭,如意永康堂凤起路店,2021-02-20 下午,2021-02-18 02:24:20,不限定车牌服务00,浙J283848,,
RS20210218143455746JC,温仪卡,15238383848,,用户已取消,预约过期，系统自动关闭,如意永康堂凤起路店,2021-02-20 下午,2021-02-18 02:34:56,不限定车牌服务00,,,
RS20210218162842426JC,萧逸才,18755520347,,已取消,门店小程序拒绝了此预约单 让用户来咨询原因,支持用户预约门店,2021-02-20 下午,2021-02-18 04:28:42,不限定车牌服务00,,,"111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	"
RS20210219102912946JC,元芳,18752632012,,已关闭,预约过期，系统自动关闭,如意永康堂凤起路店,2021-02-20 上午,2021-02-19 10:29:13,不限定车牌服务00,浙C12345,宝马x1,换轮胎
RS20210219175232301JC,苏云,18755520347,0313客户公司,已关闭,预约过期，系统自动关闭,支持用户预约门店,2021-02-20 下午,2021-02-19 05:52:32,不限定车牌服务00,,,
RS20210220145118683JC,苏云,18755520347,0313客户公司,已关闭,预约过期，系统自动关闭,支持用户预约门店,2021-02-20 下午,2021-02-20 02:51:19,门店卡券cdc001,,,
RS20210223135953660JC,苏云,18755520347,0313客户公司,已关闭,预约过期，系统自动关闭,支持用户预约门店,2021-02-20 下午,2021-02-23 01:59:54,美容服务,,,"cardNo: ""CARD5062b339c78eaa78439b8faef5ccdf1228f4""
exchangeCode: ""P0020S1052436R00""
exchangeDate: ""2021-02-23 13:52:55"""
RS20210223141607463JC,苏云,18755520347,0313客户公司,已关闭,预约过期，系统自动关闭,支持用户预约门店,2021-02-20 下午,2021-02-23 02:16:07,美容服务,,,"第二次预约cardNo: ""CARD5062b339c78eaa78439b8faef5ccdf1228f4""
exchangeCode: ""P0020S1052436R00"""
RS20210223155105681JC,苏云,18755520347,0313客户公司,已关闭,预约过期，系统自动关闭,支持用户预约门店,2021-02-20 下午,2021-02-23 03:51:06,其他服务,,,测试待接单 自动关闭
RS20210218131626782JC,元芳,17682308215,,已关闭,预约过期，系统自动关闭,如意永康堂凤起路店,2021-02-19 下午,2021-02-18 01:16:27,不限定车牌服务00,浙A66666,拖拉机,换个发动机
